,id,user,tweet,created_at,prepro
645,1432192098040573954,Polres_Sawahlunto,"KAPOLRI BAHAS KESIAPAN PON XX BERSAMA FORKOPIMDA MIMIKA

Kapolri Jenderal Polisi Drs. Listyo Sigit Prabowo, https://t.co/71xGoCVI0M., menghimbau Forkopimda Mimika untuk melaksanakan strategi pengadilan Covid-19 yakni Prokes ketat 3M, penguatan 3T.

#PatuhiPPKMdanVaksinasi https://t.co/ojwL1RMYH5",2021-08-30 04:02:59,"['kapolri', 'bahas', 'kesiap', 'pon', 'xx', 'forkopimda', 'mimika', 'kapolri', 'jenderal', 'polisi', 'drs', 'listyo', 'sigit', 'prabowo', 'menghimbau', 'forkopimda', 'mimika', 'laksana', 'strategi', 'adil', 'covid', 'prokes', 'ketat', 'm', 'kuat', 'patuhippkmdanvaksinasi']"
647,1432191967392251910,Polres_Sawahlunto,"Ditengah situasi wabah pandemi COVID 19 saat ini marilah kita selalu ingat untuk berbagi dan saling membantu meringankan beban sesama agar pandemi covid-19 dapat dilalui

#PatuhiPPKMdanVaksinasi
Bersama Cegah Pandemi https://t.co/F2HDmQWag9",2021-08-30 04:02:28,"['tengah', 'situasi', 'wabah', 'pandemi', 'covid', 'mari', 'bagi', 'bantu', 'ringan', 'beban', 'pandemi', 'covid', 'patuhippkmdanvaksinasi', 'cegah', 'pandemi']"
648,1432191709996191748,Humas Polres Temanggung,"Kapolri Jenderal Polisi Drs. Listyo Sigit Prabowo, https://t.co/XLCNDnhk3W., menghimbau Forkopimda Mimika untuk melaksanakan strategi pengadilan Covid-19 yakni Prokes ketat 3M, penguatan 3T serta akselerasi program vaksinasi massal.

#PatuhiPPKMdanVaksinasi
Bersama Cegah Pandemi https://t.co/oIXliiE7TQ",2021-08-30 04:01:27,"['kapolri', 'jenderal', 'polisi', 'drs', 'listyo', 'sigit', 'prabowo', 'menghimbau', 'forkopimda', 'mimika', 'laksana', 'strategi', 'adil', 'covid', 'prokes', 'ketat', 'm', 'kuat', 'akselerasi', 'program', 'vaksinasi', 'massal', 'patuhippkmdanvaksinasi', 'cegah', 'pandemi']"
650,1432191232004952072,HumasPolsektaSungaiKunjang,"Ayo Bersama Lawan Virus Covid 19, Jangan Kendor Disiplin Protokol Kesehatan demi keselamatan kita Semua.

#DivHumasPolri
#PoldaKaltim
#PolrestaSamarinda
#PolsektaSungaiKunjang
#AyoPakaiMasker
#PatuhiProtokolKesehatan
#CegahVirusCovid19 https://t.co/N3DVxeqx9n",2021-08-30 03:59:33,"['ayo', 'lawan', 'virus', 'covid', 'kendor', 'disiplin', 'protokol', 'sehat', 'selamat', 'divhumaspolri', 'poldakaltim', 'polrestasamarinda', 'polsektasungaikunjang', 'ayopakaimasker', 'patuhiprotokolkesehatan', 'cegahviruscovid']"
651,1432191160823341056,Humas PolsekGabus ResGrob,"Jika tidak ada urusan penting, masyarakat diharapkan mengurangi mobilitas demi meminimalisir penularan Covid-19.
#PatuhiPPKMdanVaksinasi
Bersama Cegah Pandemi https://t.co/ygdCuQfzvL",2021-08-30 03:59:16,"['urus', 'masyarakat', 'harap', 'kurang', 'mobilitas', 'meminimalisir', 'tular', 'covid', 'patuhippkmdanvaksinasi', 'cegah', 'pandemi']"
652,1432191025884196869,HumasPolsektaSungaiKunjang,"Ayo Suksekan Vaksinasi Covid 19, dan selalu gunakan Masker  Untuk Lawan Penyebaran Virus Covid, tetap disiplin Patuhi Protokol Kesehatan.

#DivHumasPolri
#PoldaKaltim
#PolrestaSamarinda
#PolsektaSungaiKunjang
#AyoPakaiMasker
#PatuhiProtokolKesehatan
#CegahVirusCovid19 https://t.co/gb3Dd6LSiT",2021-08-30 03:58:44,"['ayo', 'suksekan', 'vaksinasi', 'covid', 'masker', 'lawan', 'sebar', 'virus', 'covid', 'disiplin', 'patuh', 'protokol', 'sehat', 'divhumaspolri', 'poldakaltim', 'polrestasamarinda', 'polsektasungaikunjang', 'ayopakaimasker', 'patuhiprotokolkesehatan', 'cegahviruscovid']"
653,1432190903146319874,Humas PolsekGabus ResGrob,"Jika tidak ada urusan penting, masyarakat diharapkan mengurangi mobilitas demi meminimalisir penularan Covid-19.
#PatuhiPPKMdanVaksinasi
Bersama Cegah Pandemi https://t.co/yP5rmt6Iwm",2021-08-30 03:58:14,"['urus', 'masyarakat', 'harap', 'kurang', 'mobilitas', 'meminimalisir', 'tular', 'covid', 'patuhippkmdanvaksinasi', 'cegah', 'pandemi']"
654,1432190671629086720,Abdi Bhayangkara,"Kapolri berharap kepada Forkopimda Bali untuk bersinergi dengan seluruh elemen masyarakat dengan menggunakan pendekatan adat melalu para pemuka adat untuk mengajak warga yang terpapar Covid-19 agar di Karantina di Isolasi Terpusat (Isoter).

#PatuhiPPKMdanVaksinasi https://t.co/R0xDLzOl7k",2021-08-30 03:57:19,"['kapolri', 'harap', 'forkopimda', 'bal', 'sinergi', 'elemen', 'masyarakat', 'dekat', 'adat', 'lalu', 'muka', 'adat', 'ajak', 'warga', 'papar', 'covid', 'karantina', 'isolasi', 'pusat', 'isoter', 'patuhippkmdanvaksinasi']"
655,1432190516519596039,Humas PolsekGabus ResGrob,"Jika tidak ada urusan penting, masyarakat diharapkan mengurangi mobilitas demi meminimalisir penularan Covid-19.
#PatuhiPPKMdanVaksinasi
Bersama Cegah Pandemi https://t.co/OZd30VYTlv",2021-08-30 03:56:42,"['urus', 'masyarakat', 'harap', 'kurang', 'mobilitas', 'meminimalisir', 'tular', 'covid', 'patuhippkmdanvaksinasi', 'cegah', 'pandemi']"
656,1432190271115071488,Rastra Negara,"Polri memberikan bantuan sosial berupa sembako yang dibagikan secara door to door, sebagai bentuk peduli kepada sesama dimasa pandemi covid-19

#PatuhiPPKMdanVaksinasi
Bersama Cegah Pandemi https://t.co/XioqWomjKV",2021-08-30 03:55:44,"['polri', 'bantu', 'sosial', 'sembako', 'bagi', 'door', 'to', 'door', 'bentuk', 'peduli', 'masa', 'pandemi', 'covid', 'patuhippkmdanvaksinasi', 'cegah', 'pandemi']"
657,1432190200566796294,HUMAS POLSEK GUNUNG SUGIH,"Ditengah situasi wabah pandemi COVID 19 saat ini marilah kita selalu ingat untuk berbagi dan saling membantu meringankan beban sesama agar pandemi covid-19 dapat dilalui

#PatuhiPPKMdanVaksinasi
Bersama Cegah Pandemi https://t.co/s1XSE03nP7",2021-08-30 03:55:27,"['tengah', 'situasi', 'wabah', 'pandemi', 'covid', 'mari', 'bagi', 'bantu', 'ringan', 'beban', 'pandemi', 'covid', 'patuhippkmdanvaksinasi', 'cegah', 'pandemi']"
658,1432189883196403713,Humas Polres Temanggung,"Disiplin protokol kesehatan adalah langkah yang tepat untuk mencegah penyebaran covid-19

#PatuhiPPKMdanVaksinasi
Bersama Cegah Pandemi https://t.co/nFU6nznHWB",2021-08-30 03:54:11,"['disiplin', 'protokol', 'sehat', 'langkah', 'cegah', 'sebar', 'covid', 'patuhippkmdanvaksinasi', 'cegah', 'pandemi']"
659,1432189881896214532,HUMAS POLSEK GUNUNG SUGIH,"KAPOLRI BAHAS KESIAPAN PON XX BERSAMA FORKOPIMDA MIMIKA

Kapolri Jenderal Polisi Drs. Listyo Sigit Prabowo, https://t.co/gEOfgZyFzb., menghimbau Forkopimda Mimika untuk melaksanakan strategi pengdilan Covid-19 yakni Prokes ketat 3M, 

#PatuhiPPKMdanVaksinasi
Bersama Cegah Pandemi https://t.co/JvZr9pBMIM",2021-08-30 03:54:11,"['kapolri', 'bahas', 'kesiap', 'pon', 'xx', 'forkopimda', 'mimika', 'kapolri', 'jenderal', 'polisi', 'drs', 'listyo', 'sigit', 'prabowo', 'menghimbau', 'forkopimda', 'mimika', 'laksana', 'strategi', 'dil', 'covid', 'prokes', 'ketat', 'm', 'patuhippkmdanvaksinasi', 'cegah', 'pandemi']"
660,1432189422330466312,HUMAS POLSEK GUNUNG SUGIH,"Jika tidak ada urusan penting, masyarakat diharapkan mengurangi mobilitas demi meminimalisir penularan Covid-19.
#PatuhiPPKMdanVaksinasi
Bersama Cegah Pandemi https://t.co/n1iFNwdwqC",2021-08-30 03:52:21,"['urus', 'masyarakat', 'harap', 'kurang', 'mobilitas', 'meminimalisir', 'tular', 'covid', 'patuhippkmdanvaksinasi', 'cegah', 'pandemi']"
662,1432188920033206272,Humas PolsekGabus ResGrob,"Jika tidak ada urusan penting, masyarakat diharapkan mengurangi mobilitas demi meminimalisir penularan Covid-19.
#PatuhiPPKMdanVaksinasi
Bersama Cegah Pandemi https://t.co/T5o1PGLQrg",2021-08-30 03:50:21,"['urus', 'masyarakat', 'harap', 'kurang', 'mobilitas', 'meminimalisir', 'tular', 'covid', 'patuhippkmdanvaksinasi', 'cegah', 'pandemi']"
